sigma,dnfr
0.7354709418837673,0.48839804355959404
0.7454909819639277,0.5091810179092966
0.7555110220440882,0.5299640021187836
0.7655310621242486,0.5507469965904742
0.7755511022044086,0.5715300017267849
0.785571142284569,0.5923130179301316
0.7955911823647295,0.6130960456029256
0.8056112224448895,0.6338790851475751
0.8156312625250499,0.6546621369664879
0.8256513026052104,0.6754452014620663
0.8356713426853708,0.696228279036711
0.8456913827655308,0.7170113700928177
0.8557114228456912,0.7377944750327822
0.8657314629258517,0.7585775942589938
0.8757515030060121,0.77936072817384
0.8857715430861721,0.8001438771797029
0.8957915831663326,0.8209270416789645
0.905811623246493,0.8417102220739999
0.915831663326653,0.8624934187671802
0.9258517034068134,0.883276632160876
0.9358717434869739,0.9040598626574505
0.9458917835671343,0.9248431106592641
0.9559118236472943,0.9456263765686715
0.9659318637274548,0.9664096607880265
0.9759519038076152,0.9871929637196754
0.9859719438877756,1.0079762857659607
0.9959919839679356,1.02875962732922
1.006012024048096,1.0495429888117884
1.0160320641282565,1.0703263706159938
1.0260521042084165,1.0911097731441586
1.036072144288577,1.1118931967986037
1.0460921843687374,1.1326766419816419
1.0561122244488979,1.1534601090955816
1.0661322645290578,1.174243598542725
1.0761523046092183,1.195027110725372
1.0861723446893787,1.2158106460458136
1.0961923847695392,1.2365942049063365
1.1062124248496992,1.2573777877092216
1.1162324649298596,1.2781613948567454
1.12625250501002,1.2989450267511766
1.13627254509018,1.3197286837947777
1.1462925851703405,1.3405123663898082
1.156312625250501,1.3612960749385181
1.1663326653306614,1.3820798098431528
1.1763527054108214,1.40286357150595
1.1863727454909818,1.4236473603291435
1.1963927855711423,1.4444311767149582
1.2064128256513023,1.465215021065612
1.2164328657314627,1.4859988937833197
1.2264529058116231,1.506782795270285
1.2364729458917836,1.5275667259287073
1.2464929859719436,1.5483506861607763
1.256513026052104,1.5691346763686789
1.2665330661322645,1.589918696954591
1.276553106212425,1.6107027483206826
1.286573146292585,1.6314868308691153
1.2965931863727453,1.6522709450020456
1.3066132264529058,1.67305509112162
1.3166332665330658,1.6938392696299773
1.3266533066132262,1.7146234809292509
1.3366733466933867,1.7354077254215643
1.346693386773547,1.7561920035090328
1.356713426853707,1.7769763155937637
1.3667334669338675,1.7977606620778583
1.376753507014028,1.818545043363407
1.3867735470941884,1.839329459852493
1.3967935871743484,1.8601139119471894
1.4068136272545089,1.8808984000495648
1.4168336673346693,1.9016829245616746
1.4268537074148293,1.9224674858855666
1.4368737474949898,1.9432520844232828
1.4468937875751502,1.964036720576852
1.4569138276553106,1.9848213947482969
1.4669338677354706,2.005606107339628
1.476953907815631,2.026390858752851
1.4869739478957915,2.0471756493899584
1.496993987975952,2.0679604796529345
1.507014028056112,2.088745349943754
1.5170340681362724,2.109530260664383
1.5270541082164328,2.130315212216776
