sigma,t,phi_s
0.506532663316583,14.07035175879397,-2.9777038304438235
0.507537688442211,14.07035175879397,-2.9764224359535767
0.5085427135678392,14.07035175879397,-2.9749070615070714
0.5095477386934674,14.07035175879397,-2.9731604138162266
0.5105527638190955,14.07035175879397,-2.9711854968113642
0.5115577889447236,14.07035175879397,-2.968985598042603
0.5125628140703518,14.07035175879397,-2.966564274049889
0.5135678391959799,14.07035175879397,-2.9639253348333536
0.5145728643216081,14.07035175879397,-2.9610728275599585
0.5155778894472361,14.07035175879397,-2.958011019644768
0.5165829145728643,14.07035175879397,-2.954744381345643
0.5175879396984925,14.07035175879397,-2.951277568008835
0.5185929648241207,14.07035175879397,-2.947615402099975
0.5195979899497487,14.07035175879397,-2.9437628551504273
0.5206030150753769,14.07035175879397,-2.9397250297431037
0.521608040201005,14.07035175879397,-2.935507141654791
0.5226130653266332,14.07035175879397,-2.9311145022639784
0.5236180904522614,14.07035175879397,-2.926552501324379
0.5246231155778894,14.07035175879397,-2.921826590194875
0.5256281407035176,14.07035175879397,-2.9169422656068185
0.5266331658291458,14.07035175879397,-2.9119050540395515
0.5276381909547738,14.07035175879397,-2.9067204967648896
0.528643216080402,14.07035175879397,-2.901394135611326
0.5296482412060302,14.07035175879397,-2.8959314994889134
0.5306532663316583,14.07035175879397,-2.8903380917063712
0.5316582914572865,14.07035175879397,-2.8846193781029896
0.5326633165829145,14.07035175879397,-2.8787807760094823
0.5336683417085427,14.07035175879397,-2.872827644044096
0.5346733668341709,14.07035175879397,-2.8667652727431157
0.5356783919597989,14.07035175879397,-2.8605988760183885
0.5366834170854271,14.07035175879397,-2.8543335834286747
0.5376884422110553,14.07035175879397,-2.8479744332465433
0.5386934673366834,14.07035175879397,-2.8415263662980594
0.5396984924623116,14.07035175879397,-2.834994220548781
0.5407035175879397,14.07035175879397,-2.82838272640645
0.5417085427135678,14.07035175879397,-2.821696502708233
0.542713567839196,14.07035175879397,-2.814940053358451
0.5437185929648242,14.07035175879397,-2.8081177645812674
0.5447236180904522,14.07035175879397,-2.8012339027519064
0.5457286432160804,14.07035175879397,-2.794292612769427
0.5467336683417086,14.07035175879397,-2.787297916933989
0.5477386934673367,14.07035175879397,-2.780253714291731
0.5487437185929649,14.07035175879397,-2.773163780410933
0.549748743718593,14.07035175879397,-2.766031767553892
0.5507537688442211,14.07035175879397,-2.7588612052099255
0.5517587939698493,14.07035175879397,-2.751655500956106
0.5527638190954773,14.07035175879397,-2.7444179416136083
0.5537688442211055,14.07035175879397,-2.7371516946689987
0.5547738693467337,14.07035175879397,-2.7298598099312996
0.5557788944723618,14.07035175879397,-2.722545221397199
0.55678391959799,14.07035175879397,-2.7152107492984006
0.5577889447236181,14.07035175879397,-2.707859102306705
0.5587939698492462,14.07035175879397,-2.7004928798740147
0.5597989949748744,14.07035175879397,-2.693114574686063
0.5608040201005025,14.07035175879397,-2.6857265752102006
0.5618090452261306,14.07035175879397,-2.678331168319104
0.5628140703517588,14.07035175879397,-2.6709305419737537
0.563819095477387,14.07035175879397,-2.663526787950396
0.5648241206030151,14.07035175879397,-2.656121904597608
0.5658291457286432,14.07035175879397,-2.6487177996108318
0.5668341708542713,14.07035175879397,-2.641316292812972
0.5678391959798995,14.07035175879397,-2.6339191189308253
0.5688442211055277,14.07035175879397,-2.626527930358144
0.5698492462311557,14.07035175879397,-2.6191442998971928
0.5708542713567839,14.07035175879397,-2.6117697234715758
0.5718592964824121,14.07035175879397,-2.6044056228040056
0.5728643216080402,14.07035175879397,-2.597053348053477
0.5738693467336684,14.07035175879397,-2.589714180407078
0.5748743718592965,14.07035175879397,-2.582389334622362
0.5758793969849246,14.07035175879397,-2.575079961516815
0.5768844221105528,14.07035175879397,-2.567787150401571
0.5778894472361809,14.07035175879397,-2.560511931457008
0.578894472361809,14.07035175879397,-2.553255278048378
0.5798994974874372,14.07035175879397,-2.546018108980047
0.5809045226130654,14.07035175879397,-2.538801290687282
0.5819095477386935,14.07035175879397,-2.5316056393649333
0.5829145728643216,14.07035175879397,-2.524431923032607
0.5839195979899497,14.07035175879397,-2.5172808635362625
0.5849246231155779,14.07035175879397,-2.5101531384863778
0.585929648241206,14.07035175879397,-2.5030493831330634
0.5869346733668341,14.07035175879397,-2.495970192178691
0.5879396984924623,14.07035175879397,-2.488916121528782
0.5889447236180905,14.07035175879397,-2.4818876899820257
0.5899497487437186,14.07035175879397,-2.4748853808604476
0.5909547738693467,14.07035175879397,-2.467909643580827
0.5919597989949749,14.07035175879397,-2.460960895168577
0.592964824120603,14.07035175879397,-2.454039521715363
0.5939698492462312,14.07035175879397,-2.4471458797817847
0.5949748743718593,14.07035175879397,-2.4402802977465154
0.5959798994974874,14.07035175879397,-2.4334430771033158
0.5969849246231156,14.07035175879397,-2.426634493707369
0.5979899497487438,14.07035175879397,-2.4198547989723975
0.5989949748743719,14.07035175879397,-2.413104221020034
0.6,14.07035175879397,-2.406382965782932
0.4,14.120603015075378,-2.4848354147772924
0.4010050251256282,14.120603015075378,-2.4951497329451313
0.4020100502512563,14.120603015075378,-2.5055609796445246
0.40301507537688447,14.120603015075378,-2.5160710309347203
0.4040201005025126,14.120603015075378,-2.5266818164481655
0.40502512562814075,14.120603015075378,-2.5373953213875082
0.40603015075376886,14.120603015075378,-2.548213588612882
0.407035175879397,14.120603015075378,-2.559138720824175
0.40804020100502514,14.120603015075378,-2.5701728828432127
0.4090452261306533,14.120603015075378,-2.58131830400108
0.4100502512562814,14.120603015075378,-2.5925772806360845
0.4110552763819096,14.120603015075378,-2.603952178708187
0.4120603015075377,14.120603015075378,-2.6154454365360182
0.41306532663316586,14.120603015075378,-2.627059567662987
0.414070351758794,14.120603015075378,-2.638797163859271
0.41507537688442214,14.120603015075378,-2.650660898266934
0.41608040201005025,14.120603015075378,-2.6626535286957216
0.4170854271356784,14.120603015075378,-2.6747779010775536
0.41809045226130653,14.120603015075378,-2.687036953088111
0.4190954773869347,14.120603015075378,-2.6994337179443715
0.4201005025125628,14.120603015075378,-2.7119713283873788
0.421105527638191,14.120603015075378,-2.7246530208600093
0.4221105527638191,14.120603015075378,-2.737482139889941
0.42311557788944726,14.120603015075378,-2.750462142688531
0.42412060301507537,14.120603015075378,-2.763596603976756
0.42512562814070354,14.120603015075378,-2.776889221049867
0.4261306532663317,14.120603015075378,-2.7903438190928327
0.4271356783919598,14.120603015075378,-2.803964356759123
0.428140703517588,14.120603015075378,-2.8177549320257596
0.4291457286432161,14.120603015075378,-2.831719788337934
0.43015075376884426,14.120603015075378,-2.8458633210567967
0.4311557788944724,14.120603015075378,-2.8601900842242163
0.43216080402010054,14.120603015075378,-2.87470479765845
0.43316582914572865,14.120603015075378,-2.8894123543945773
0.4341708542713568,14.120603015075378,-2.9043178284834097
0.43517587939698493,14.120603015075378,-2.919426483162059
0.4361809045226131,14.120603015075378,-2.9347437794087115
0.4371859296482412,14.120603015075378,-2.950275384893007
0.4381909547738694,14.120603015075378,-2.966027183331946
0.4391959798994975,14.120603015075378,-2.9820052842591505
0.44020100502512566,14.120603015075378,-2.998216033212609
0.44120603015075377,14.120603015075378,-3.014666022342412
0.44221105527638194,14.120603015075378,-3.0313621014354726
0.44321608040201005,14.120603015075378,-3.048311389348325
0.4442211055276382,14.120603015075378,-3.0655212858317964
0.4452261306532663,14.120603015075378,-3.08299948372205
0.4462311557788945,14.120603015075378,-3.1007539814610365
0.4472361809045226,14.120603015075378,-3.1187930958949663
0.4482412060301508,14.120603015075378,-3.1371254752817235
0.4492462311557789,14.120603015075378,-3.155760112416081
0.45025125628140705,14.120603015075378,-3.1747063577544954
0.4512562814070352,14.120603015075378,-3.193973932387766
0.45226130653266333,14.120603015075378,-3.213572940668701
0.45326633165829144,14.120603015075378,-3.233513882251263
0.4542713567839196,14.120603015075378,-3.253807663235386
0.4552763819095478,14.120603015075378,-3.274465606035119
0.4562814070351759,14.120603015075378,-3.2954994574937055
0.45728643216080406,14.120603015075378,-3.31692139465359
0.45829145728643217,14.120603015075378,-3.3387440274472935
0.45929648241206034,14.120603015075378,-3.360980397400471
0.46030150753768845,14.120603015075378,-3.383643971223713
0.4613065326633166,14.120603015075378,-3.4067486279056047
0.4623115577889447,14.120603015075378,-3.430308637594626
