sigma,chi_mag,log_chi_mag,phi_s,unitary_error
0.5785785785785785,0.9382937868181209,-0.06369217345150685,-2.8070499664582793,0.06170621318187908
0.5795795795795796,0.9375327867259887,-0.06450354924137376,-2.794792590105684,0.06246721327401128
0.5805805805805806,0.936772403466145,-0.06531492543084175,-2.7826933889863823,0.06322759653385501
0.5815815815815816,0.9360126365342124,-0.06612630202493713,-2.770748455937371,0.0639873634657876
0.5825825825825826,0.9352534854262339,-0.06693767902868585,-2.7589540267479613,0.06474651457376612
0.5835835835835835,0.9344949496386713,-0.06774905644711417,-2.7473064732700796,0.0655050503613287
0.5845845845845846,0.933737028668406,-0.06856043428524808,-2.7358022969387057,0.06626297133159398
0.5855855855855856,0.932979722012738,-0.06937181254811352,-2.7244381226734875,0.06702027798726196
0.5865865865865866,0.9322230291693855,-0.07018319124073674,-2.7132106931349336,0.06777697083061451
0.5875875875875876,0.9314669496364849,-0.07099457036814351,-2.702116863310737,0.06853305036351509
0.5885885885885885,0.93071148291259,-0.07180594993536012,-2.6911535954097134,0.06928851708741002
0.5895895895895896,0.929956628496672,-0.07261732994741248,-2.6803179540426143,0.07004337150332796
0.5905905905905906,0.9292023858881194,-0.07342871040932643,-2.6696071016706937,0.07079761411188057
0.5915915915915916,0.9284487545867367,-0.07424009132612816,-2.659018294304359,0.0715512454132633
0.5925925925925926,0.927695734092745,-0.0750514727028435,-2.6485488774356196,0.07230426590725503
0.5935935935935935,0.9269433239067811,-0.07586285454449836,-2.6381962821892206,0.07305667609321886
0.5945945945945946,0.9261915235298973,-0.07667423685611896,-2.6279580216785225,0.07380847647010269
0.5955955955955956,0.9254403324635614,-0.07748561964273083,-2.617831687553192,0.07455966753643861
0.5965965965965966,0.9246897502096556,-0.07829700290936001,-2.607814946726695,0.0753102497903444
0.5975975975975976,0.9239397762704766,-0.07910838666103252,-2.5979055382725016,0.07606022372952337
0.5985985985985985,0.9231904101487355,-0.07991977090277413,-2.588101270478648,0.07680958985126451
0.5995995995995996,0.9224416513475567,-0.08073115563961078,-2.5784000180510636,0.07755834865244327
0.6006006006006006,0.9216934993704785,-0.08154254087656825,-2.568799719456751,0.07830650062952149
0.6016016016016016,0.9209459537214519,-0.08235392661867229,-2.559298374398479,0.07905404627854806
0.6026026026026026,0.9201990139048407,-0.08316531287094883,-2.54989404141329,0.07980098609515929
0.6036036036036035,0.919452679425421,-0.08397669963842368,-2.5405848355875778,0.08054732057457903
0.6046046046046046,0.9187069497883806,-0.08478808692612277,-2.5313689263820303,0.08129305021161937
0.6056056056056056,0.9179618244993198,-0.08559947473907148,-2.522244535560148,0.08203817550068015
0.6066066066066066,0.9172173030642494,-0.08641086308229576,-2.5132099352144754,0.08278269693575058
0.6076076076076076,0.9164733849895912,-0.0872222519608215,-2.504263445885075,0.08352661501040881
0.6086086086086087,0.9157300697821779,-0.08803364137967426,-2.4954034347651057,0.08426993021782214
0.6096096096096096,0.9149873569492522,-0.08884503134387978,-2.486628313988729,0.08501264305074785
0.6106106106106106,0.9142452459984668,-0.08965642185846368,-2.4779365389968238,0.0857547540015332
0.6116116116116116,0.9135037364378839,-0.09046781292845178,-2.4693266069763378,0.08649626356211615
0.6126126126126126,0.9127628277759748,-0.09127920455886959,-2.460797055369302,0.08723717222402516
0.6136136136136137,0.9120225195216198,-0.0920905967547429,-2.4523464604478264,0.08797748047838017
0.6146146146146146,0.9112828111841077,-0.09290198952109716,-2.443973435951599,0.0887171888158923
0.6156156156156156,0.9105437022731352,-0.09371338286295805,-2.435676631784618,0.08945629772686481
0.6166166166166166,0.909805192298807,-0.09452477678535118,-2.4274547327681133,0.09019480770119304
0.6176176176176176,0.9090672807716351,-0.09533617129330205,-2.4193064574467544,0.09093271922836488
0.6186186186186187,0.9083299672025387,-0.09614756639183643,-2.4112305569454504,0.09167003279746133
0.6196196196196196,0.9075932511028438,-0.09695896208597951,-2.403225813874183,0.09240674889715617
0.6206206206206206,0.9068571319842826,-0.09777035838075715,-2.395291041278472,0.09314286801571736
0.6216216216216216,0.9061216093589938,-0.09858175528119452,-2.3874250816332134,0.09387839064100623
0.6226226226226226,0.905386682739521,-0.09939315279231742,-2.379626805877755,0.09461331726047895
0.6236236236236237,0.9046523516388141,-0.10020455091915113,-2.3718951124901966,0.09534764836118592
0.6246246246246246,0.9039186155702273,-0.10101594966672112,-2.3642289265990204,0.09608138442977265
0.6256256256256256,0.90318547404752,-0.10182734904005276,-2.356627199130253,0.09681452595247997
0.6266266266266266,0.9024529265848557,-0.10263874904417145,-2.3490889059884763,0.09754707341514435
0.6276276276276276,0.9017209726968015,-0.10345014968410274,-2.341613047270079,0.09827902730319849
0.6286286286286287,0.9009896118983287,-0.10426155096487204,-2.3341986465072453,0.09901038810167129
0.6296296296296297,0.900258843704812,-0.10507295289150428,-2.326844749941244,0.09974115629518798
0.6306306306306306,0.8995286676320284,-0.10588435546902521,-2.3195504258236697,0.10047133236797157
0.6316316316316316,0.8987990831961581,-0.10669575870245994,-2.3123147637443555,0.10120091680384191
0.6326326326326326,0.8980700899137832,-0.10750716259683377,-2.3051368739847446,0.10192991008621677
0.6336336336336337,0.8973416873018879,-0.10831856715717211,-2.2980158868955702,0.1026583126981121
0.6346346346346347,0.8966138748778579,-0.10912997238850011,-2.2909509522977616,0.10338612512214207
0.6356356356356356,0.8958866521594804,-0.10994137829584293,-2.2839412389055314,0.10411334784051962
0.6366366366366366,0.8951600186649431,-0.11075278488422578,-2.276985933770681,0.1048399813350569
0.6376376376376376,0.8944339739128345,-0.1115641921586739,-2.2700842417471843,0.10556602608716548
0.6386386386386387,0.8937085174221431,-0.11237560012421269,-2.26323538497517,0.10629148257785692
0.6396396396396397,0.8929836487122577,-0.11318700878586689,-2.2564386023834704,0.10701635128774234
0.6406406406406406,0.8922593673029662,-0.11399841814866181,-2.249693149209931,0.10774063269703382
0.6416416416416416,0.8915356727144559,-0.11480982821762255,-2.242998296538734,0.10846432728554412
0.6426426426426426,0.8908125644673128,-0.11562123899777425,-2.236353330854015,0.10918743553268717
0.6436436436436437,0.8900900420825216,-0.11643265049414199,-2.2297575536090846,0.10990995791747837
0.6446446446446447,0.8893681050814652,-0.11724406271175064,-2.223210280810612,0.11063189491853476
0.6456456456456456,0.8886467529859242,-0.1180554756556253,-2.216710842617141,0.11135324701407578
0.6466466466466466,0.8879259853180768,-0.11886688933079086,-2.2102585829513637,0.11207401468192324
0.6476476476476476,0.8872058016004979,-0.11967830374227262,-2.203852859125577,0.11279419839950211
0.6486486486486487,0.88648620135616,-0.12048971889509523,-2.197493041479792,0.11351379864384004
0.6496496496496497,0.8857671841084315,-0.12130113479428375,-2.1911785130319985,0.11423281589156853
